,precision,recall,f1-score,support
0,0.2,0.25,0.2222222222222222,4.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,7.0
9,0.0,0.0,0.0,9.0
10,0.17857142857142858,0.2631578947368421,0.2127659574468085,19.0
11,0.10344827586206896,0.13636363636363635,0.11764705882352941,22.0
12,0.06666666666666667,0.08333333333333333,0.07407407407407407,12.0
13,0.043478260869565216,0.08333333333333333,0.05714285714285714,12.0
14,0.0,0.0,0.0,15.0
15,0.0,0.0,0.0,10.0
16,0.2,0.2,0.2,5.0
17,0.0,0.0,0.0,10.0
18,0.0,0.0,0.0,1.0
accuracy,0.09230769230769231,0.09230769230769231,0.09230769230769231,0.09230769230769231
macro avg,0.056583187997837806,0.0725848712690818,0.06313229783639225,130.0
weighted avg,0.06761891032505725,0.09230769230769231,0.0776483119161467,130.0
