,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,2.0
7,0.06666666666666667,0.14285714285714285,0.09090909090909091,7.0
8,0.0,0.0,0.0,9.0
9,0.3076923076923077,0.25,0.27586206896551724,16.0
10,0.16666666666666666,0.16666666666666666,0.16666666666666666,18.0
11,0.13636363636363635,0.17647058823529413,0.15384615384615385,17.0
12,0.13043478260869565,0.21428571428571427,0.16216216216216217,14.0
13,0.25,0.18181818181818182,0.21052631578947367,11.0
14,0.0,0.0,0.0,13.0
15,0.0,0.0,0.0,12.0
16,0.0,0.0,0.0,4.0
17,0.0,0.0,0.0,5.0
accuracy,0.12307692307692308,0.12307692307692308,0.12307692307692308,0.12307692307692308
macro avg,0.07555886142842663,0.08086416384735713,0.07571231845279033,130.0
weighted avg,0.11756932588036267,0.12307692307692308,0.11732000845500776,130.0
