,precision,recall,f1-score,support
0,1.0,0.25,0.4,4.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,3.0
8,0.5,0.14285714285714285,0.2222222222222222,7.0
9,0.0,0.0,0.0,9.0
10,0.21428571428571427,0.3157894736842105,0.2553191489361702,19.0
11,0.14285714285714285,0.18181818181818182,0.16,22.0
12,0.06666666666666667,0.08333333333333333,0.07407407407407407,12.0
13,0.07692307692307693,0.16666666666666666,0.10526315789473684,12.0
14,0.25,0.13333333333333333,0.17391304347826086,15.0
15,0.0,0.0,0.0,10.0
16,0.25,0.2,0.2222222222222222,5.0
17,0.0,0.0,0.0,10.0
18,0.0,0.0,0.0,1.0
accuracy,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847
macro avg,0.17862375719518578,0.10527129512091918,0.11521527634483474,130.0
weighted avg,0.1649027895181741,0.13846153846153847,0.1338344071711811,130.0
