,precision,recall,f1-score,support
0,0.0,0.0,0.0,4.0
6,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,3.0
8,0.125,0.14285714285714285,0.13333333333333333,7.0
9,0.4,0.2222222222222222,0.2857142857142857,9.0
10,0.1111111111111111,0.10526315789473684,0.10810810810810811,19.0
11,0.2962962962962963,0.36363636363636365,0.32653061224489793,22.0
12,0.1,0.08333333333333333,0.09090909090909091,12.0
13,0.25,0.4166666666666667,0.3125,12.0
14,0.16666666666666666,0.06666666666666667,0.09523809523809523,15.0
15,0.13333333333333333,0.2,0.16,10.0
16,0.1,0.2,0.13333333333333333,5.0
17,0.5,0.3,0.375,10.0
18,0.0,0.0,0.0,1.0
accuracy,0.2,0.2,0.2,0.2
macro avg,0.1558862433862434,0.1500461109483666,0.14433334706293888,130.0
weighted avg,0.2049074074074074,0.2,0.1925279739565454,130.0
